"English" "French" "Word.type" "Example" "Translation"
"joy" "joie  " "feminine noun " "je ne ressens ni peine ni joie " "I feel neither pain nor joy "
"durable, long-lasting" "durable  " "adjective (no distinct feminine) " "la transgénèse promeut une agriculture durable " "hybrid crops encourage durable agriculture "
"hungry" "faim  " "feminine noun " "je commence à avoir faim " "I'm starting to feel hungry "
"to excuse" "excuser  " "verb " "excusez moi de vous interrompre monsieur " "excuse me for interrupting, sir "
"to recommend" "recommander  " "verb " "je ne lui recommandai même pas la prudence " "I didn't even recommend caution to him "
"concept" "concept  " "masculine noun " "ce concept me réjouit, il est plein d'espoir " "I delight in this concept, it's full of hope "
"brain" "cerveau  " "masculine noun " "à la naissance, le cerveau humain est loin d'être complètement développé " "at birth, the human brain is far from completely developed "
"trick; thingamajig" "truc  " "masculine noun " "je peux avoir un truc à grignoter? " "can I have something to snack on? "
"allied; ally" "allié  " "noun/adjective " "la guerre sera gagnée par les Alliés " "the war will be won by the Allies "
"school, educational, academic" "scolaire  " "adjective (no distinct feminine) " "je veux juste finir l'année scolaire avec mes amis " "I just want to finish the school year with my friends "
"Arabic, Arab" "arabe  " "noun/adjective (no distinct feminine) " "le monde arabe devient bipolaire " "the Arab world is becoming bipolar "
"to diffuse, broadcast" "diffuser  " "verb " "nos stations diffusent une émission quotidienne " "our stations broadcast a daily program "
"budgetary" "budgétaire  " "adjective (no distinct feminine) " "la situation budgétaire nous place dans une position critique " "the budgetary situation puts us in a critical position "
"worrying, disturbing" "inquiétant  " "adjective " "la puissance iranienne est inquiétante " "Iranian power is disturbing "
"to include" "inclure  " "verb " "n'incluez pas une extension de fichier " "don't include a file extension "
"style" "style  " "masculine noun " "faut que je change de style " "I've got to change my style "
"to fill, fill in, fulfil" "combler  " "verb " "les gens tentent de combler ce vide, pierre par pierre " "people try to fill up the void, stone by stone "
"shade, shadow" "ombre  " "masculine noun,feminine noun " "il vivait dans son ombre et ne cherchait qu'à lui complaire " "he lived in her shadow and only sought to please her "
"to cancel" "annuler  " "verb " "il a dû annuler un voyage " "he had to cancel a trip "
"player" "joueur  " "noun/adjective " "j'étais même le meilleur joueur de l'équipe " "I was even the best player on the team "
"to block" "bloquer  " "verb " "ils nous disent que nous bloquons le progrès " "they say we're blocking progress "
"interpretation" "interprétation  " "feminine noun " "vous pouvez être en désaccord avec mon interprétation " "you can disagree with my interpretation "
"climate" "climat  " "masculine noun " "pour rétablir le climat de confiance, il faut gagner le respect " "to re-establish the climate of trust, respect must be gained "
"stay" "séjour  " "masculine noun " "notre séjour s'achève. nous partons demain " "our visit is over. we leave tomorrow "
"to guide" "guider  " "verb " "voilà les convictions qui guident mes pas " "these are the convictions that guide my footsteps "
"to specialize" "spécialiser  " "verb " "la main-d'œuvre spécialisée vieillit " "specialized manpower is ageing "
"well" "bien?  " "adverb " "bon ... ben il va falloir que je m'y mette " "OK, well I will have to get busy with it "
"sport" "sport  " "adjective invariable,masculine noun " "le sport est le meilleur remède physique et mental " "sports are the best physical and mental cure "
"improvement" "amélioration  " "feminine noun " "il faut prévoir que l'amélioration sera lente " "you have to expect the improvement to be slow "
"pain" "douleur  " "feminine noun " "je comprends votre douleur et combien ceci est pénible " "I feel your pain and how difficult this is "
"exit, outcome" "issue  " "feminine noun " "nous fondons nos espoirs sur une issue positive au référendum " "our hopes rest on a positive outcome in the referendum "
"generous" "généreux  " "adjective (no distinct plural) " "il était généreux dans ses activités bénévoles " "he was generous in his charitable activities "
"absent" "absent  " "noun/adjective " "il a été absent trois heures " "he was absent for three hours "
"talent" "talent  " "masculine noun " "votre frère a beaucoup de talent " "your brother has a lot of talent "
"normally" "normalement  " "adverb " "normalement, je suis un chien très gentil " "normally, I'm a very gentle dog "
"remark" "remarque  " "feminine noun " "par cette remarque je n'accuse personne " "by making that remark I don't accuse anyone "
"to redirect" "détourner  " "verb " "pour rentrer, il suffit de détourner l'attention du gardien " "to gain entry you just have to distract the security guard "
"reasonable, fair" "raisonnable  " "adjective (no distinct feminine) " "soyez raisonnable, rentrez vous reposer " "be reasonable--go home and rest "
"supreme" "suprême  " "noun/adjective (no distinct feminine) " "certains ont fait le sacrifice suprême " "some made the supreme sacrifice "
"possible" "éventuel  " "noun/adjective " "ce serait peut-être un éventuel projet pour vous " "that might be a possible project for you "
"to hurt" "blesser  " "verb " "le premier avait été légèrement blessé, le second était sorti indemne " "the first was lightly injured, the second escaped unharmed "
"orientation, trend" "orientation  " "feminine noun " "je suis d'orientation homosexuelle " "I have a homosexual orientation "
"Greek" "grec  " "noun/adjective " "il utilisait deux mots grecs " "he used two Greek words "
"secondary" "secondaire  " "noun/adjective (no distinct feminine) " "quels types d'effets secondaires pourraient survenir? " "what kind of secondary effects could take place? "
"to report; to postpone" "reporter  " "masculine noun,feminine noun,verb " "nous pourrions avoir à reporter certaines choses " "we might have to delay certain things "
"partisan, supporter" "partisan  " "noun/adjective " "je ne suis pas un ardent partisan " "I'm not an ardent supporter "
"fifth" "cinquième  " "determiner,masculine noun,feminine noun " "il s'agissait de la cinquième médaille olympique de sa carrière " "it was the fifth Olympic medal of his career "
"distinction" "distinction  " "feminine noun " "il y a une distinction sémantique importante à faire " "there's an important semantic distinction to be made "
"impact" "impact  " "masculine noun " "ses paroles ont un impact épouvantable " "her words have a dreadful impact "
"magazine" "magazine  " "masculine noun " "on fait semblant de lire un magazine " "we pretend to read a magazine "
"to complete" "compléter  " "verb " "cela complète notre présentation, mesdames et messieurs " "that completes our presentation, ladies and gentlemen "
"merit" "mérite  " "masculine noun " "mon mérite était nul " "I had nothing going for me "
"naturally" "naturellement  " "adverb " "elle va naturellement sortir avec des garçons " "naturally she will date guys "
"collaboration" "collaboration  " "feminine noun " "c'est cette collaboration qui a mené aux progrès " "this collaboration is what is leading to progress "
"to get, bring" "procurer  " "verb " "j'ignore comment vous vous êtes procuré cette carte " "I don't know how you got that card "
"officer; officiate" "officier  " "masculine noun,feminine noun,verb " "il craint de perdre ses meilleurs officiers " "he fears losing his best officers "
"remarkable, outstanding" "remarquable  " "adjective (no distinct feminine) " "c'est remarquable, ce qui peut être fait " "it's remarkable, what can be done "
"endeavour" "efforcer  " "verb " "nous nous efforçons de contenir ce fléau " "we are endeavouring to contain this plague "
"tragic" "tragique  " "noun/adjective (no distinct feminine) " "c'est tragique, elles sont mortes " "tragically, they died "
"anniversary, birthday" "anniversaire  " "noun/adjective (no distinct feminine) " "j'ai un cadeau d'anniversaire pour toi " "I have a birthday present for you "
"descended from" "issu  " "adjective " "Hugh était issu d'une famille de cinq garçons " "Hugh came from a family of five boys "
"chase, pursuit" "poursuite  " "feminine noun " "je suis parti à la poursuite de mon rêve " "I left to pursue my dream "
"ours, our own" "nôtre  " "noun/adjective (no distinct feminine) " "j'aurais aimé qu'il soit des nôtres " "I would have preferred him to be on our side "
"to light up" "éclairer  " "verb " "vous êtes là pour que je vous éclaire " "you're here so that I can enlighten you "
"to eat, consume, drink, use, consummate" "consommer  " "verb " "nous consommons des aliments génétiquement modifiés " "we consume genetically modified food "
"nurse" "infirmier  " "noun/adjective " "un infirmier lui est venu en aide " "a male nurse came to his aid "
"characteristic" "caractéristique  " "noun/adjective (no distinct feminine) " "il est toutefois caractéristique qu'aucune décision définitive n'a été prise " "it is nevertheless characteristic that no definitive decision was taken "
